Date,Day_of_the_week,App,Minutes,Category
8/23,Wednesday,YOUTUBE,628,Entertainment
8/23,Wednesday,NETFLIX,99,Entertainment
8/23,Wednesday,CALCULATOR,87,Education
8/23,Wednesday,INSTAGRAM,70,Entertainment
8/23,Wednesday,MOVIES,45,Entertainment
8/23,Monday,CLOCK,16,Other
8/24,Thursday,YOUTUBE,406,Entertainment
8/24,Thursday,INSTAGRAM,186,Entertainment
8/24,Thursday,NETFLIX,96,Entertainment
8/24,Thursday,SOUNDCLOUD,20,Entertainment
8/24,Thursday,MESSAGES,15,Other
8/25,Friday,YOUTUBE,700,Entertainment
8/25,Friday,INSTAGRAM,82,Entertainment
8/25,Friday,ROBLOX,44,Entertainment
8/25,Friday,MESSAGES,30,Other
8/25,Friday,CASHAPP,10,Other
8/26,Saturday,NETFLIX,264,Entertainment
8/26,Saturday,INSTAGRAM,121,Entertainment
8/26,Saturday,YOUTUBE,80,Entertainment
8/26,Saturday,OURPACT,57,Other
8/26,Saturday,CASHAPP,22,Other
8/26,Saturday,MESSAGES,20,Other
8/26,Saturday,ROBLOX,12,Entertainment
8/27,Sunday,YOUTUBE,623,Entertainment
8/27,Sunday,INSTAGRAM,258,Entertainment
8/27,Sunday,ROBLOX,135,Entertainment
8/27,Sunday,MOVIES,70,Entertainment
8/27,Sunday,MESSAGES,29,Other
8/27,Sunday,NETFLIX,26,Entertainment
8/27,Sunday,CASHAPP,12,Other
8/28,Monday,YOUTUBE,699,Entertainment
8/28,Monday,MESSAGES,52,Other
8/28,Monday,INSTAGRAM,43,Entertainment
8/28,Monday,CLOCK,41,Other
8/28,Monday,NETFLIX,37,Entertainment
8/28,Monday,CASHAPP,11,Other
8/29,Tuesday,YOUTUBE,612,Entertainment
8/29,Tuesday,INSTAGRAM,92,Entertainment
8/29,Tuesday,MOVIES,56,Entertainment
8/29,Tuesday,CLOCK,21,Other
8/29,Tuesday,MESSAGES,20,Other